Step,Entropy,Max Depth, Assembly, Omega, Order
534,1.6774212838293647,3,13,127,16
535,1.573402452417767,3,11,97,13
536,1.573402452417767,3,11,97,13
537,1.1567796494470395,2,9,68,10
538,1.224394445405986,2,8,61,9
539,1.2987949406953985,2,7,54,8
540,1.1488348542809166,2,6,45,7
541,1.1488348542809166,2,6,45,7
542,1.224394445405986,2,8,61,9
543,1.224394445405986,2,8,61,9
544,1.2406705316766884,2,10,77,11
545,1.2389012566026305,2,12,93,13
546,1.188721875540867,2,11,84,12
547,1.2406705316766884,2,10,77,11
548,1.2389012566026305,2,12,93,13
549,1.2389012566026305,2,12,93,13
550,1.2389012566026305,2,12,93,13
551,1.188721875540867,2,11,84,12
552,1.188721875540867,2,11,84,12
553,1.1981174211304033,2,13,100,14
554,1.198192411043098,2,15,116,16
555,1.198192411043098,2,15,116,16
556,1.1660870601063933,2,16,123,17
557,1.134969974603941,2,17,130,18
558,1.134969974603941,2,17,130,18
559,1.1411535278793057,2,19,146,20
560,1.1674367232867007,2,18,139,19
561,1.1411535278793057,2,19,146,20
562,1.1674367232867007,2,18,139,19
563,1.134969974603941,2,17,130,18
564,1.1411535278793057,2,19,146,20
565,1.1411535278793057,2,19,146,20
566,1.143320102127766,2,21,162,22
567,1.1657840518150733,2,20,155,21
568,1.1883763717345073,2,19,148,20
569,1.181899057917561,2,21,164,22
570,1.1657840518150733,2,20,155,21
571,1.143320102127766,2,21,162,22
572,1.1657840518150733,2,20,155,21
573,1.1411535278793057,2,19,146,20
574,1.1674367232867007,2,18,139,19
575,1.134969974603941,2,17,130,18
576,1.0863128407412879,2,16,121,17
577,1.0529407605626346,2,17,128,18
578,1.076297625725199,2,19,144,20
579,1.0214554656116666,2,18,135,19
580,1.0214554656116666,2,18,135,19
581,1.0214554656116666,2,18,135,19
582,0.9444885341662053,2,17,126,18
583,0.8343470230852537,2,16,117,17
584,0.6685644431995964,2,15,108,16
585,0.6685644431995964,2,15,108,16
586,1.0975378398419535,3,17,128,18
587,1.1540157730728,3,19,144,20
588,1.192250860234642,3,18,137,19
589,0.9444885341662053,2,17,126,18
590,0.9444885341662053,2,17,126,18
591,0.9444885341662053,2,17,126,18
592,0.9444885341662053,2,17,126,18
593,0.9780155566622413,2,16,119,17
594,0.9780155566622413,2,16,119,17
595,0.8683927290103626,2,15,110,16
596,0.6998428398862386,2,14,101,15
597,0.37123232664087563,1,13,93,14
598,0.37123232664087563,1,13,93,14
599,0.37123232664087563,1,13,93,14
600,0.6685644431995964,2,15,108,16
601,0.6685644431995964,2,15,108,16
602,0.8030717273241024,2,17,124,18
603,0.8030717273241024,2,17,124,18
604,0.8030717273241024,2,17,124,18
605,0.8343470230852537,2,16,117,17
606,0.8030717273241024,2,17,124,18
607,0.6402064333604701,2,16,115,17
608,0.6402064333604701,2,16,115,17
609,0.3372900666170139,1,15,107,16
610,0.3372900666170139,1,15,107,16
611,0.3372900666170139,1,15,107,16
612,0.3372900666170139,1,15,107,16
613,0.35335933502142136,1,14,100,15
614,0.35335933502142136,1,14,100,15
615,0.6402064333604701,2,16,115,17
616,0.6143694458867568,2,17,122,18
617,0.3227569588973982,1,16,114,17
618,0.3095434291503252,1,17,121,18
619,0.3095434291503252,1,17,121,18
620,0.3227569588973982,1,16,114,17
621,0.5907239186406502,2,18,129,19
622,0.3095434291503252,1,17,121,18
623,0.8475846798245739,3,19,141,20
624,0.9567657083663144,3,21,156,22
625,1.0238995733215066,3,23,172,24
626,1.0238995733215066,3,23,172,24
627,0.8076702057269436,2,22,161,23
628,0.8076702057269436,2,22,161,23
629,0.8663137138648347,2,24,177,25
630,0.8663137138648347,2,24,177,25
631,0.8451064151274781,2,25,184,26
632,0.7641140545540274,2,24,175,25
633,0.6583514224564075,2,23,166,24
634,0.6784070909375675,2,22,159,23
635,0.6998578570269279,2,21,152,22
636,0.6784070909375675,2,22,159,23
637,0.7641140545540274,2,24,175,25
638,0.785235442391543,2,23,168,24
639,0.785235442391543,2,23,168,24
640,0.785235442391543,2,23,168,24
641,0.8076702057269436,2,22,161,23
642,0.8076702057269436,2,22,161,23
643,0.8315435491770657,2,21,154,22
644,1.1241854163060885,3,23,174,24
645,1.1545676820893709,3,22,167,23
646,0.9373012413074895,2,21,156,22
647,0.9737837298712213,2,23,172,24
648,0.9996551889197438,2,25,188,26
649,0.9996551889197438,2,25,188,26
650,0.9996551889197438,2,25,188,26
651,1.0211191885631823,2,24,181,25
652,1.0434356963218767,2,23,174,24
653,1.0577422381270596,2,25,190,26
654,1.0676898236494567,2,27,206,28
655,1.0377724203178629,2,26,197,27
656,1.04975472279146,2,28,213,29
657,1.0584546687309146,2,30,229,31
658,1.0584546687309146,2,30,229,31
659,1.0584546687309146,2,30,229,31
660,1.0322683996633863,2,29,220,30
661,1.0425993555312076,2,31,236,32
662,1.0584546687309146,2,30,229,31
663,1.0322683996633863,2,29,220,30
664,1.04975472279146,2,28,213,29
665,1.0584546687309146,2,30,229,31
666,1.0322683996633863,2,29,220,30
667,1.0425993555312076,2,31,236,32
668,1.0503685489507828,2,33,252,34
669,1.064794829694994,2,32,245,33
670,1.064794829694994,2,32,245,33
671,1.079439161649138,2,31,238,32
672,1.0827203878670804,2,33,254,34
673,1.0848840292766133,2,35,270,36
674,1.0848840292766133,2,35,270,36
675,1.0970817135542688,2,34,263,35
676,1.1092800210442264,2,33,256,34
677,1.0961391592565068,2,32,247,33
678,1.0970817135542688,2,34,263,35
679,1.0827203878670804,2,33,254,34
680,1.064794829694994,2,32,245,33
681,1.0694066513929217,2,34,261,35
682,1.0694066513929217,2,34,261,35
683,1.0827203878670804,2,33,254,34
684,1.0848840292766133,2,35,270,36
685,1.0862218199398501,2,37,286,38
686,1.0862218199398501,2,37,286,38
687,1.086943753557998,2,39,302,40
688,1.0750914219339838,2,38,293,39
689,1.0750914219339838,2,38,293,39
690,1.0767129416796726,2,40,309,41
691,1.0777689060383437,2,42,325,43
692,1.0872033369264704,2,41,318,42
693,1.0872033369264704,2,41,318,42
694,1.0965821588011107,2,40,311,41
695,1.0965821588011107,2,40,311,41
696,1.0957663204772516,2,42,327,43
697,1.0947679661147987,2,44,343,45
698,1.0936401741547748,2,46,359,47
699,1.0867618230381284,2,45,350,46
700,1.0783878114938321,2,44,341,45
701,1.0786672099764596,2,46,357,47
702,1.0786672099764596,2,46,357,47
703,1.0786672099764596,2,46,357,47
704,1.0867618230381284,2,45,350,46
705,1.0867618230381284,2,45,350,46
706,1.0867618230381284,2,45,350,46
707,1.0862104406240476,2,47,366,48
708,1.0786672099764596,2,46,357,47
709,1.0867618230381284,2,45,350,46
710,1.0783878114938321,2,44,341,45
711,1.0683112379159179,2,43,332,44
712,1.0777689060383437,2,42,325,43
713,1.2166983728093714,3,44,345,45
714,1.0871142877642597,2,43,334,44
715,1.0871142877642597,2,43,334,44
716,1.0871142877642597,2,43,334,44
717,1.0777689060383437,2,42,325,43
718,1.0872033369264704,2,41,318,42
719,1.2273536033721064,3,43,338,44
720,1.2273536033721064,3,43,338,44
721,1.222065633020721,3,45,354,46
722,1.2318908524869157,3,44,347,45
723,1.102652051070839,2,43,336,44
724,1.102652051070839,2,43,336,44
725,1.102652051070839,2,43,336,44
726,1.1103746838736355,2,42,329,43
727,1.104307786008091,2,41,320,42
728,1.104307786008091,2,41,320,42
729,1.1103746838736355,2,41,330,43
730,1.104307786008091,2,40,321,42
731,1.104307786008091,2,40,321,42
732,1.0965821588011107,2,39,312,41
733,1.0965821588011107,2,39,312,41
734,1.086943753557998,2,38,303,40
735,1.086943753557998,2,38,303,40
736,1.2327992399574295,3,39,323,42
737,1.2273536033721064,3,41,339,44
738,1.222065633020721,3,43,355,46
739,1.2318908524869157,3,42,348,45
